id,item_text,item_title,item_model,item_picture,item_page
98,포멀,간결한 실루엣,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032711083800000039467.jpg,https://www.musinsa.com/app/styles/views/32253
99,캐주얼,캐주얼 무드,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032711050100000083304.jpg,https://www.musinsa.com/app/styles/views/32252
100,캐주얼,개강맞이 룩,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032711002900000025160.jpg,https://www.musinsa.com/app/styles/views/32251
101,걸리시,모노톤 러버,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032710575700000013443.jpg,https://www.musinsa.com/app/styles/views/32250
102,시크,시크한 감각,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032710551500000029846.jpg,https://www.musinsa.com/app/styles/views/32249
103,캐주얼,간단한 레이어드,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032710522100000070635.jpg,https://www.musinsa.com/app/styles/views/32248
104,로맨틱,로맨틱 아웃핏,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032710493100000083340.jpg,https://www.musinsa.com/app/styles/views/32247
105,걸리시,봄 나들이 스타일링,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032710463300000062677.jpg,https://www.musinsa.com/app/styles/views/32246
106,캐주얼,완벽 매치,모델 : 유채림,https://image.msscdn.net/images/style/list/l_3_2023032710421300000055277.jpg,https://www.musinsa.com/app/styles/views/32245
107,댄디,환절기 코디,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415581500000045711.jpg,https://www.musinsa.com/app/styles/views/32244
108,포멀,클래식 바이브,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415563400000014252.jpg,https://www.musinsa.com/app/styles/views/32243
109,댄디,깔끔한 멋,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415560200000004080.jpg,https://www.musinsa.com/app/styles/views/32242
110,아메리칸 캐주얼,댄디 한 스푼,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415553200000000689.jpg,https://www.musinsa.com/app/styles/views/32241
111,댄디,봄처럼 가볍게,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415550200000030024.jpg,https://www.musinsa.com/app/styles/views/32240
112,댄디,따라 입고 싶어,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415535300000021105.jpg,https://www.musinsa.com/app/styles/views/32239
113,댄디,이런 게 세련미,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415531900000015817.jpg,https://www.musinsa.com/app/styles/views/32238
114,아메리칸 캐주얼,빈티지 아메카지,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415521900000090457.jpg,https://www.musinsa.com/app/styles/views/32237
115,포멀,시크한 올 블랙,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415514700000077615.jpg,https://www.musinsa.com/app/styles/views/32236
116,댄디,데님 셔츠 활용법,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415510800000084236.jpg,https://www.musinsa.com/app/styles/views/32235
117,댄디,센스 있는 포인트,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415502000000091435.jpg,https://www.musinsa.com/app/styles/views/32234
118,캐주얼,캐주얼 코디,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415492800000055270.jpg,https://www.musinsa.com/app/styles/views/32233
119,캐주얼,컬러 조합이 관건,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415483700000078417.jpg,https://www.musinsa.com/app/styles/views/32232
120,댄디,워너비 아웃핏,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415480200000055340.jpg,https://www.musinsa.com/app/styles/views/32231
121,댄디,심플하게,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415463500000058087.jpg,https://www.musinsa.com/app/styles/views/32230
122,댄디,데일리 댄디 룩,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415454500000065634.jpg,https://www.musinsa.com/app/styles/views/32229
123,댄디,댄디하게,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415443100000055017.jpg,https://www.musinsa.com/app/styles/views/32228
124,댄디,블루 컬러 포인트,모델 : 신지용,https://image.msscdn.net/images/style/list/l_3_2023032415432700000084549.jpg,https://www.musinsa.com/app/styles/views/32227
125,캐주얼,가볍게 즐겨,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216492100000004003.jpg,https://www.musinsa.com/app/styles/views/32216
126,캐주얼,시원한 느낌,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216474300000092717.jpg,https://www.musinsa.com/app/styles/views/32215
127,캐주얼,깔끔한 매치,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216465500000046163.jpg,https://www.musinsa.com/app/styles/views/32214
128,캐주얼,손쉬운 매치,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216461300000077378.jpg,https://www.musinsa.com/app/styles/views/32213
129,아메리칸 캐주얼,아메카지 룩,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216453700000099135.jpg,https://www.musinsa.com/app/styles/views/32212
130,캐주얼,발랄한 무드,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216433600000062278.jpg,https://www.musinsa.com/app/styles/views/32211
131,레트로,남다른 센스,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216423200000032618.jpg,https://www.musinsa.com/app/styles/views/32209
132,걸리시,돋보이는 스타일,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216420200000074926.jpg,https://www.musinsa.com/app/styles/views/32208
133,캐주얼,와이드 실루엣,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216410200000083242.jpg,https://www.musinsa.com/app/styles/views/32207
134,레트로,레트로 감성,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216402400000054468.jpg,https://www.musinsa.com/app/styles/views/32206
135,캐주얼,꾸안꾸 조합,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216395900000080592.jpg,https://www.musinsa.com/app/styles/views/32205
136,걸리시,핑크 홀릭,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216394800000075065.jpg,https://www.musinsa.com/app/styles/views/32204
137,고프코어,아노락 연출법,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216385000000002066.jpg,https://www.musinsa.com/app/styles/views/32203
138,걸리시,뉴 프레피,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216382100000094253.jpg,https://www.musinsa.com/app/styles/views/32202
139,캐주얼,레드 포인트,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216375500000089006.jpg,https://www.musinsa.com/app/styles/views/32201
140,캐주얼,데일리 코디,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216372800000006984.jpg,https://www.musinsa.com/app/styles/views/32200
141,레트로,빈티지 색감,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216365500000090567.jpg,https://www.musinsa.com/app/styles/views/32199
